Status,Supplier,MYOB Purchase No,Order No,Item Number,Description,Original MYOB Qty,Packed Qty,Remaining Qty,Adjustment Qty,Source Rows,Line No,Note
OVERSUPPLY,Yuchang Textile Factory,00260311,260311,WEBRG 50B,WEBBING POLYESTER G0001 50 MM BLACK,3000.0,3450.0,0,3000.0,"74,75",25723,
MATCHED,Yuchang Textile Factory,260318 WW,260318 WW,HBTP24 AQUA,POLYESTER HBT TAPE 24 MM AQUA,1500.0,1500.0,0,1500.0,76,25831,
MATCHED,Yuchang Textile Factory,260318 WW,260318 WW,HBTP24 CHEST,POLYESTER HBT TAPE 24 MM CHESTNUT,6000.0,6000.0,0,6000.0,77,25830,
MATCHED,Yuchang Textile Factory,260323 FS,260323 FS,MT407436 CLASSIC,"MATTRESS TAPE MT4074 36 MM LIGHT GREY R23718(""BROOKLYN"")",45000.0,21000.0,24000.0,21000.0,78,25866,
MATCHED,Yuchang Textile Factory,260324 M,260324 M,HBTP22 MUSHROOM,POLYESTER HBT TAPE 22 MM MUSHROOM X391,6000.0,6000.0,0,6000.0,79,25891,
MATCHED,Yuchang Textile Factory,260325MR,260325MR,MT407236 CH,MATTRESS TAPE MT4072 36 MM CHARCOAL,10500.0,10200.0,300.0,10200.0,"80,81",25894,
MATCHED,Yuchang Textile Factory,00260327,260327,C323 T615,323 CORD DK NAVY T615,2000.0,2000.0,0,2000.0,87,25908,
OVERSUPPLY,Yuchang Textile Factory,00260327,260327,ELBH 12W,BRAIDED ELASTIC 12 MM HEAVY WHITE,4000.0,4200.0,0,4000.0,"82,83",25907,
MATCHED,Yuchang Textile Factory,00260327,260327,HBTP22 DUSTY,POLYESTER HBT TAPE 22 MM DUSTY PINK 7994,2000.0,2000.0,0,2000.0,84,25910,
OVERSUPPLY,Yuchang Textile Factory,00260327,260327,MTYC70736 G,MATTRESS TAPE MTYC-707 36 MM GREY T3937,10000.0,11000.0,0,10000.0,88,25905,
OVERSUPPLY,Yuchang Textile Factory,00260327,260327,WEBSP 20B,WEBBING SPUN POLYESTER 20 MM BLACK,1500.0,1950.0,0,1500.0,"85,86",25906,
MATCHED,Yuchang Textile Factory,260328 SL,260328 SL,LMT36 NAVY,MATTRESS TAPE 36 MM SOLID NAVY T1876 LAYERED,64000.0,44000.0,20000.0,44000.0,89,25912,
MATCHED,Yuchang Textile Factory,00260331,260331,ELKC 38W,CORDED ELASTIC 38 MM WHITE,10000.0,6000.0,4000.0,6000.0,90,25981,
OVERSUPPLY,Yuchang Textile Factory,00260331,260331,ELKHR30 15W,HEAVY # 30 KNITTED 15 MM WHITE,20000.0,20860.0,0,20000.0,"91,92,93,94,95",25980,
OVERSUPPLY,Yuchang Textile Factory,00260331,260331,MT22 807 CHARCOAL,MATTRESS TAPE 22 MM 807 CHARCOAL,18000.0,19200.0,0,18000.0,"96,97",25982,
MATCHED,Yuchang Textile Factory,00260331,260331,MT407836 CW,MATTRESS TAPE MT4078 36 MM CHARCOAL / WHITE (124055),162000.0,162000.0,0,162000.0,98,25984,
OVERSUPPLY,Yuchang Textile Factory,00260407,260407,ELKSR 25BE,KNITTED ELASTIC 25 MM BEIGE,2000.0,2200.0,0,2000.0,"99,100",26036,
OVERSUPPLY,Yuchang Textile Factory,00260407,260407,ELKSR 32W,KNITTED ELASTIC 32 MM WHITE,10000.0,11000.0,0,10000.0,101,26034,
MATCHED,Yuchang Textile Factory,00260407,260407,ELW 32B,WOVEN ELASTIC 32 MM BLACK,2000.0,2000.0,0,2000.0,102,26025,
OVERSUPPLY,Yuchang Textile Factory,00260407,260407,HBTP16 BLACK SHF,POLYESTER HBT TAPE 16 MM BLACK SHF,30000.0,32000.0,0,30000.0,103,26024,
OVERSUPPLY,Yuchang Textile Factory,00260407,260407,MTF36 NC,MATTRESS TAPE MTF 36 MM NAVY / CHARCOAL,15000.0,16500.0,0,15000.0,104,26029,
OVERSUPPLY,Yuchang Textile Factory,00260407,260407,WEBPP38B,WEBBING POLY PROP 38 MM BLK UV,5000.0,6000.0,0,5000.0,105,26028,
OVERSUPPLY,Yuchang Textile Factory,260409SM,260409SM,LMT36 SH-SILVER LX,MATTRESS TAPE 36 MM SH-SILVER LX LAYERED,12000.0,14000.0,0,12000.0,106,26098,
MATCHED,Yuchang Textile Factory,00260410,260410,SFW50FY,SHADEFLEX WEBBING 50 MM FLUORO YELLOW,2000.0,2000.0,0,2000.0,107,26214,
MATCHED,Yuchang Textile Factory,00260413,260413,LMT402436 CH,MATTRESS TAPE MT4024 36 MM CHARCOAL T2055 LAYERED,20000.0,20000.0,0,20000.0,110,26241,
OVERSUPPLY,Yuchang Textile Factory,00260413,260413,WEBEE 25B,POLYESTER WEBBING 25 MM BLACK,3000.0,3500.0,0,3000.0,"108,109",26243,
