Source Row,Order No,Item Number,Supplier Item,Size,Colour,Labelled As,Qty,Packages,Net Weight,Gross Weight
40,251216 CS,MT402536 WD TB,Poly Mattress Tape,36 mm,Taupe T3748 with highlight colour Brown T5917,MT4025 without diamond  - 36 MM STRATUS,19500.0,13.0,201.5,211.9
41,251216 CS,MT402536 WD TB,Poly Mattress Tape,36 mm,Taupe T3748 with highlight colour Brown T5917,MT4025 without diamond  - 36 MM STRATUS,1350.0,1.0,14.0,14.8
42,260124,MT36 WHITE,Poly Mattress Tape,36 mm,White,MT - 36 MM,19500.0,13.0,174.2,183.3
43,260124,V50WH,Hook,50 mm,White,HOOK - 50 MM,100.0,10.0,52.0,58.0
44,260124,V50WL,Loop,50 mm,White,LOOP - 50 MM,100.0,10.0,50.0,56.0
45,260129,LMTS36 CHAR,Poly Mattress Tape,36 mm,Charcoal T 2055,LMTS - 36 MM,50000.0,25.0,475.0,497.49999999999994
46,260129,ELW 25B,PP + Poly Woven Elastic,25 mm,Black,ELW - 25 MM,2000.0,2.0,28.6,29.8
47,260129,ELW 25B,PP + Poly Woven Elastic,25 mm,Black,ELW - 25 MM,900.0,1.0,12.7,13.3
48,260129,HBTPFR26 BLACK,Polyester Tape -                 3 TIMES RUBBER,26 mm,Black - R18433,HBTPF - 26 MM,33000.0,22.0,242.0,257.4
49,260129,MTS36 BLACK,Poly Mattress Tape,36 mm,Black,MTS - 36 MM,81000.0,54.0,810.0,853.2
50,260129,MTS36 DK SIL,Poly Mattress Tape,36 mm,Dk Silver - A17748,MTS - 36 MM,46500.0,31.0,452.6,477.4
51,260129,MTSB36 CHAR,Poly Mattress Tape,36 mm,Charcoal - T2055,MTS - 36 MM,36000.0,20.0,364.0,382.0
52,260129,SFW25B,High Strength Poly Shadeflex Webbing,25 mm,Dope - Dyed Black,SFW - 25 MM,5000.0,10.0,134.0,139.0
53,260204,MT404336 SLATE,Poly Mattress Tape,36 mm,T41855 / FE0012,MT4043 - 36 MM SLATE,81000.0,54.0,745.2,783.0
54,260204,WEBPP50B,UV Polyprop Webbing,50 mm,Black,WEBPP - 50 MM,10000.0,20.0,282.0,294.0
55,260213,ELW 38W,PP + Poly Woven Elastic,38 mm,White,ELW - 38 MM,1500.0,3.0,32.400000000000006,33.900000000000006
56,260217 KEL,WEBKEL2 25B,Polyester Jacquard Webbing,25 mm,Silver T861 and Orange Pantone # 1655 Jacquard on Black with Silver T861 lines on edges,WEBKEL - 25 MM,3500.0,7.0,98.0,100.8
57,260217 KEL,WEBKEL2 25B,Polyester Jacquard Webbing,25 mm,Silver T861 and Orange Pantone # 1655 Jacquard on Black with Silver T861 lines on edges,WEBKEL - 25 MM,350.0,1.0,9.8,10.2
